Price,Close,High,Low,Open,Volume
Ticker,QQQM,QQQM,QQQM,QQQM,QQQM
Date,,,,,
2021-01-22,129.6200714111328,129.95919397464002,129.33909554926802,129.45535938392757,124900
2021-01-25,130.44363403320312,131.46097205918454,128.1376363011146,131.1024820799077,155200
2021-01-26,130.84088134765625,131.152874686295,130.28861336846603,131.05404155978218,75600
2021-01-27,127.36250305175781,130.06575508725962,126.44204666508101,130.06575508725962,148600
2021-01-28,127.97295379638672,129.8913812512978,127.52531431703778,127.80824174673263,88600
2021-01-29,125.34720611572266,127.55630782182725,124.59146157333495,127.42066174458621,119300
2021-02-01,128.41860961914062,128.7480484203463,125.92853247644595,126.83930516905797,131300
2021-02-02,130.52597045898438,130.84086147497135,129.59098113399034,129.65881154768806,111600
2021-02-03,130.04637145996094,131.48034607173446,130.04637145996094,131.48034607173446,93100
2021-02-04,131.43191528320312,131.45129751661034,129.99794048162772,130.67617080775713,76200
2021-02-05,131.95513916015625,132.32816216342175,131.26721028833396,132.02295480424402,182400
2021-02-08,132.77867126464844,132.85522442158987,131.96479500168473,132.7399215882592,105200
2021-02-09,132.7496337890625,133.28253435567098,132.58492175653137,132.58492175653137,101700
2021-02-10,132.4202117919922,133.43756474698478,131.28659499676502,133.3697343173057,104500
2021-02-11,133.16529846191406,133.3600522241411,132.25550137545488,133.29223657794543,136200
2021-02-12,133.9898223876953,133.9898223876953,132.49771567784654,132.76900780690997,87100
2021-02-16,133.6216583251953,134.60993053070004,133.1643351625098,134.42585104605266,106500
2021-02-17,132.96278381347656,132.99184977085108,131.48036085012944,132.51709594419302,105000
2021-02-18,132.4008331298828,132.64305932644996,130.79923363645528,131.6063388929857,99800
2021-02-19,131.7322998046875,133.06937834177376,131.48037510105357,133.06937834177376,93500
2021-02-22,128.42831420898438,130.42425542085678,128.36048378707042,130.1141988366416,156800
2021-02-23,128.05039978027344,128.6317335075951,123.90833229176428,126.30636902969482,210100
2021-02-24,129.09686279296875,129.15499470733653,125.8161500620987,126.83931315104483,163900
2021-02-25,124.53330993652344,128.95151264925556,123.99072571345967,128.0698058946213,250600
2021-02-26,125.68632507324219,126.90713973317456,123.91225923805506,125.78030895205768,178100
2021-03-01,128.8255615234375,128.96120757543576,126.70849256343803,127.14934592851009,91900
2021-03-02,126.73274993896484,129.2228275702654,126.73274993896484,129.2228275702654,93700
2021-03-03,123.0993423461914,126.5486406357665,123.0993423461914,126.267664784131,142900
2021-03-04,121.02586364746094,124.21355292113722,119.52405872795558,123.07024532485791,206300
2021-03-05,123.0315170288086,123.24370147225815,118.52610887956618,122.4792416680728,223100
2021-03-08,119.41749572753906,123.41906919094505,119.40780461142897,122.81835305092206,160400
2021-03-09,124.2523422241211,124.88212435613973,122.15950455464613,122.42110556725245,169500
2021-03-10,123.7291259765625,125.96729344534201,123.53534799539297,125.96729344534201,177200
2021-03-11,126.71332550048828,127.2946740966552,125.47119221621598,125.90913301565793,144500
2021-03-12,125.58942413330078,125.63787232579989,124.04693244333748,124.9305760251133,119700
2021-03-15,126.96524047851562,127.02338716793253,125.27063335053585,125.81225653049728,91200
2021-03-16,127.63378143310547,129.04838846151543,127.09798329428659,127.82755936984834,144600
2021-03-17,128.14730834960938,128.77710516732049,125.74442924480013,126.46142392234034,69200
2021-03-18,124.28141021728516,126.5583273955208,124.04886776654222,126.3064174954503,155600
2021-03-19,124.77552795410156,125.31811214177726,123.30279627662959,124.2813919512491,128400
2021-03-22,127.06204223632812,127.8381151090368,125.62631704335031,125.83004190835041,74100
