Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2020-01-02,272.7603759765625,272.78779531156573,270.85920910458645,271.7275345355647,3142400
2020-01-03,270.7677917480469,271.79148407402056,269.67099049601387,269.8355064997902,3247900
2020-01-06,271.7823791503906,271.84636689797287,269.0403340159865,269.10432176356875,2777100
2020-01-07,271.0328369140625,271.70919901346895,270.6032487957452,271.2979090449871,2251800
2020-01-08,272.4313659667969,273.57388495709364,270.978085158363,271.1974398785704,3719500
2020-01-09,274.3141784667969,274.3781662115062,273.37274412866054,273.9577271199614,2168500
2020-01-10,273.5281982421875,274.99060025038006,273.0986099815601,274.88092288911866,3666800
2020-01-13,275.3377990722656,275.41093587388553,273.72915205234955,274.1221717071261,2728000
2020-01-14,274.9722900390625,275.95029285743954,274.497012244803,275.01800752863295,2620100
2020-01-15,275.584716796875,276.30676868201977,274.8352176794432,274.9448950344764,2822300
2020-01-16,277.887939453125,277.8970885277397,276.68143313183117,276.8916665933282,2582600
2020-01-17,278.8293762207031,278.95735169240714,278.0433368151627,278.56430409611653,2218000
2020-01-21,278.25360107421875,278.97568078972836,277.86058128855296,277.93369022100364,2757900
2020-01-22,278.3267517089844,279.6155163688874,278.15308660558077,279.0579526438739,2765300
2020-01-23,278.6009826660156,278.7472284514258,276.63585548159205,277.71438676876926,2673100
2020-01-24,276.0599365234375,279.2498397994793,274.94483715944375,279.15846061853915,3448200
2020-01-27,271.6727294921875,273.0437521991006,270.95979880033383,271.3162501994965,4302000
2020-01-28,274.6158447265625,275.31962630362557,272.5775810358357,273.0163183203518,3562500
2020-01-29,274.34161376953125,275.97770853168703,274.13140815828575,275.8314627753494,2739400
2020-01-30,275.2008056640625,275.38361984316884,271.73668059274763,272.4130707406192,4432700
2020-01-31,270.2651062011719,274.7529233415268,269.3785105071543,274.6066775896396,6184700
2020-02-03,272.2302551269531,273.9029183870268,271.4899051244705,271.57216313657665,3205200
2020-02-04,276.4255676269531,277.15679641034285,275.2647785435748,275.57554031644315,2292800
2020-02-05,279.551513671875,279.76171928531636,277.74175379850874,279.1401957345334,3049900
2020-02-06,280.5020446777344,280.67568184584553,279.51489297019145,280.41975879083833,1925500
2020-02-07,279.0762634277344,280.22793156626443,278.5369977785821,279.533271051782,2249000
2020-02-10,281.0780029296875,281.11457135550864,278.18058976130857,278.2171581871297,2246900
2020-02-11,281.5898132324219,283.0613923276326,281.1602249380659,282.36673179372946,2438800
2020-02-12,283.3994140625,283.59134935178554,282.58595543127876,282.942406682809,2115800
2020-02-13,283.1252746582031,284.00272118396407,281.8456314367958,282.0650139883777,2043400
2020-02-14,283.6005859375,283.64627553216104,282.43064780021746,283.4451911073066,1637000
2020-02-18,282.82366943359375,283.180148690986,281.54405394588883,282.65000434309894,3000300
2020-02-19,284.185546875,284.7979212848059,283.45431816255297,283.7285393897918,2257500
2020-02-20,283.0704345703125,284.43230788812207,280.3009704521461,283.6645386952516,4617300
2020-02-21,280.1363830566406,282.0466706136684,279.34119465515494,281.79074758912685,2678000
2020-02-24,270.7677917480469,273.63781220592386,269.78981690769365,271.42588365667626,7097000
2020-02-25,262.633056640625,272.58669299627206,261.73731193344514,272.1296855138682,8465800
2020-02-26,261.4722900390625,267.14831564576656,260.9330245109287,263.7938681648874,10233700
2020-02-27,249.882568359375,260.018991123651,249.8551211322376,256.4451892105165,14897000
2020-02-28,248.37445068359375,249.45300968476155,239.7004564384972,242.506489448544,23179600
2020-03-02,259.4614562988281,259.61685113558116,247.23193006536056,250.44013192211617,12428600
2020-03-03,252.30465698242188,263.5287577788499,249.8550760826465,259.89096877867905,9805900
2020-03-04,262.7610778808594,262.9164448315588,254.73602620813492,257.0484833560405,5253900
2020-03-05,253.9591064453125,259.04102827651997,251.91169361073068,256.19842675120833,6220000
2020-03-06,249.6997528076172,250.8605417821342,243.6763974803031,246.16251932362223,6669100
2020-03-09,230.43234252929688,238.54878696127375,229.55488191533985,232.05928825703342,16425900
2020-03-10,242.25830078125,242.25830078125,229.57649731170918,239.20035416782693,10879100
2020-03-11,230.24679565429688,236.6657578599832,227.39086422519702,235.6923560116746,11480100
2020-03-12,207.97789001464844,223.77274669531212,207.36262682090236,215.74676311184052,24669300
2020-03-13,227.40924072265625,227.53780297019324,209.46555211065004,220.99947036019762,19533600
2020-03-16,200.714111328125,215.59066292269722,200.31923253616296,204.6444591466056,17271500
2020-03-17,213.85508728027344,214.83766732898485,198.90506801339293,205.47094974100423,15115500
2020-03-18,202.1650390625,206.38007380911188,191.2923005273583,198.4275413213983,20177500
2020-03-19,202.3395233154297,207.53713819238817,194.78186950733658,200.58555564299093,12441200
2020-03-20,193.52378845214844,206.21476857536638,192.89015514560236,204.59855525212572,11533200
2020-03-23,187.5823516845703,193.5605180991414,184.16625258703365,192.5044719102075,14128200
2020-03-24,205.470947265625,205.9760183183341,197.27966023375535,198.71221521072212,13160800
2020-03-25,208.10647583007812,216.27021461294498,202.32115994614975,206.61882477560923,11876400
2020-03-26,220.61380004882812,221.7157642543952,210.15429709158366,210.5399838629204,12411100
2020-03-27,213.83668518066406,220.0627972681573,211.8164152605979,213.68975289245418,11170600
2020-03-30,220.75152587890625,221.40352914804555,213.9376986732313,215.7283921416644,8727800
2020-03-31,217.4731903076172,222.17491160673782,216.20592379624318,219.88832507800538,10386300
2020-04-01,207.6748504638672,212.1745572781808,205.81988284204633,209.30025564858713,13710100
2020-04-02,212.53268432617188,213.21222161111763,206.36166858539573,206.92183565155122,6547000
2020-04-03,209.39212036132812,213.698977379594,206.9310532027892,211.605226985142,5490200
2020-04-06,223.6350555419922,225.2604610598565,216.65592444685547,217.60179250323867,7624000
2020-04-07,223.75439453125,232.1477089805217,223.5707361737459,231.33959539282225,12936600
2020-04-08,231.34878540039062,232.3772974777576,224.11254485148692,226.1236368991704,6958600
2020-04-09,234.78323364257812,237.28104046070266,232.45992117428224,234.2781626685499,8812600
2020-04-13,232.50582885742188,234.12204188973186,229.00708628558357,233.83736935681344,7666400
2020-04-14,239.60440063476562,240.25639001195043,236.19746538506192,237.1433193919119,6631100
2020-04-15,234.38841247558594,235.91278968216986,232.4324163452652,234.24148016268447,4888900
2020-04-16,235.57301330566406,236.280098765556,232.69871133157037,235.55465727632597,6165700
2020-04-17,242.0745849609375,242.432737684262,238.3003614737348,240.8807985987953,6738800
2020-04-20,237.71261596679688,241.60625145214013,237.4554914745592,238.43808536522263,6498700
2020-04-21,230.4488525390625,234.61796898623493,229.5764647753632,233.47926467654437,6526100
2020-04-22,235.51791381835938,237.13414116006408,233.69048004440404,234.9301986065311,5626800
2020-04-23,235.47198486328125,239.58597689933032,235.26995646690608,236.6933192428661,7665400
2020-04-24,238.88812255859375,239.4023716470727,235.03122637052823,236.92293437982008,4768200
2020-04-27,242.34097290039062,243.2684710243067,240.20133202950382,240.60538895332004,3892200
2020-04-28,241.22061157226562,245.91316977032946,240.87165081092735,245.62849715439032,5849500
2020-04-29,247.43760681152344,248.8609701542743,245.10510131082452,246.0876956310358,6773100
2020-04-30,245.27947998046875,246.63855460218764,243.56225265202005,246.17940171118133,7386600
2020-05-01,238.59425354003906,241.37671938791138,237.60246744159517,240.7247300242409,4790700
2020-05-04,239.34727478027344,239.58601526915567,235.57302277637692,236.84948149073406,4128900
2020-05-05,241.55120849609375,244.09490592628555,241.14715163017877,241.92771730408154,4437200
2020-05-06,239.92578125,243.45207267307399,239.80642501915597,243.0847559044258,3021400
2020-05-07,242.76336669921875,244.54488262514138,242.34095377564736,242.84603890279703,3410200
2020-05-08,246.82223510742188,247.1528397725718,244.61830676281,245.67435284205428,3201100
2020-05-11,246.8590087890625,248.126275466443,244.66424414718435,244.98565683013166,3469300
2020-05-12,241.8909454345703,248.3098943084342,241.81746527343697,247.9242215481302,5159900
2020-05-13,237.60243225097656,242.3408935125332,235.41685997661259,241.3950396653765,5617500
